hid,buildyear,type,price,planno
1758,1965,Wood,73295,3
1759,1957,Brick,260647,4
1760,1979,Brick and Wood,231555,3
1761,1966,Wood,467323,4
1762,2012,Brick and Wood,413765,3
1763,1999,Brick,355763,4
1764,1971,Brick and Wood,88938,3
1765,1975,Brick,45199,3
1766,1972,Brick and Wood,73616,4
1767,2007,Brick and Wood,253070,4
1768,2003,Wood,363921,3
1769,1980,Wood,119266,4
1770,1990,Wood,444147,3
1771,2002,Brick and Wood,385889,3
1772,1980,Brick and Wood,405942,4
1773,1976,Wood,401173,4
1774,1937,Brick,355978,3
1775,1975,Brick,190065,3
1776,1958,Wood,440398,3
1777,1994,Brick,426449,4
1778,1991,Brick and Wood,161693,3
1779,1954,Wood,473947,4
1780,1963,Brick and Wood,417741,4
1781,2010,Brick and Wood,436236,4
1782,1940,Wood,471637,4
1783,1939,Brick,480439,4
1784,1935,Brick,285685,4
1785,1978,Brick and Wood,136640,3
1786,1989,Wood,457728,4
1787,1947,Wood,130351,3
1788,2013,Wood,196774,3
1789,1959,Brick,266398,4
1790,1933,Brick and Wood,492460,4
1791,1972,Brick and Wood,269402,4
1792,1961,Brick and Wood,55604,3
1793,1964,Brick and Wood,220996,3
1794,2010,Brick,377496,3
1795,1952,Wood,249593,4
1796,1934,Brick and Wood,454373,3
1797,1937,Brick and Wood,323346,4
1798,1956,Brick and Wood,88814,4
1799,1954,Brick,412223,4
1800,1960,Wood,388531,4
1801,1962,Brick,359362,3
1802,1946,Brick and Wood,333740,3
1803,2011,Wood,277022,3
1804,2016,Brick and Wood,42345,3
1805,1961,Brick and Wood,281130,3
1806,1941,Brick,335080,4
1807,1973,Brick and Wood,214794,4
1808,1940,Brick and Wood,80462,4
1809,2012,Brick,436211,3
1810,1996,Brick,89372,4
1811,1980,Brick and Wood,341883,4
1812,1997,Brick and Wood,268396,4
1813,1960,Brick,264840,4
1814,1985,Wood,39582,4
1815,2004,Brick and Wood,250618,4
1816,1984,Brick,491353,4
1817,1975,Wood,267557,3
1818,1981,Wood,413159,4
1819,1961,Wood,153673,3
1820,1983,Brick and Wood,85905,3
1821,1982,Brick and Wood,371815,4
1822,1968,Brick and Wood,211955,3
1823,1966,Brick and Wood,235526,4
1824,1959,Brick and Wood,258500,3
1825,1941,Brick,165029,4
1826,1971,Brick,219179,4
1827,2012,Brick and Wood,225624,3
1828,1999,Brick and Wood,440452,4
1829,1947,Brick,363212,3
1830,1991,Brick,304648,3
1831,2014,Brick and Wood,375221,3
1832,1969,Brick and Wood,115822,3
1833,1981,Wood,394774,4
1834,1956,Brick and Wood,480806,4
1835,1964,Brick,214881,4
1836,1977,Wood,145309,4
1837,2016,Wood,288389,3
1838,1930,Brick,200598,4
1839,1979,Wood,467037,4
1840,1954,Wood,233384,3
1841,1934,Brick and Wood,94134,3
1842,1951,Wood,425605,4
1843,1980,Wood,184370,3
1844,1941,Brick,222115,3
1845,1963,Wood,183942,4
1846,2009,Brick and Wood,308796,3
1847,1970,Wood,42509,4
1848,1960,Brick and Wood,489437,4
1849,1994,Brick,195409,3
1850,1977,Wood,101617,4
1851,1960,Brick and Wood,466647,4
1852,1936,Wood,149458,3
1853,1979,Wood,111268,3
1854,1996,Brick and Wood,412163,4
1855,1946,Brick and Wood,79632,3
1856,1948,Brick,359536,4
1857,1949,Wood,90297,4
1858,1996,Brick,91028,4
1859,1951,Brick,194366,3
1860,1935,Brick and Wood,84168,4
1861,1978,Brick and Wood,183531,3
1862,2013,Brick and Wood,326984,4
1863,1981,Brick and Wood,435027,3
1864,1967,Wood,63838,4
1865,1936,Wood,158419,4
1866,1937,Brick and Wood,74733,4
1867,1942,Wood,112696,4
1868,1979,Wood,99423,3
1869,1940,Wood,176252,4
1870,2000,Brick and Wood,455457,4
1871,1976,Wood,32985,4
1872,1985,Brick and Wood,155953,3
1873,1931,Brick,382862,4
1874,2012,Brick,377207,3
1875,1968,Wood,106321,4
1876,1962,Brick and Wood,172916,4
1877,1964,Brick and Wood,146298,4
1878,1975,Wood,390126,4
1879,1931,Brick and Wood,199752,4
1880,2000,Brick and Wood,232032,3
1881,1983,Brick,100102,4
1882,1945,Brick,358973,3
1883,2004,Brick,381495,3
1884,1992,Brick and Wood,402011,3
1885,2016,Brick,292406,3
1886,2015,Brick,41882,3
1887,1938,Wood,465305,3
1888,1937,Wood,279746,4
1889,1954,Wood,54598,3
1890,1970,Wood,128478,4
1891,1940,Brick,103506,3
1892,1996,Brick and Wood,436464,4
1893,1949,Brick and Wood,190142,4
1894,1973,Brick and Wood,372404,4
1895,1946,Brick,439273,4
1896,1950,Wood,469455,3
1897,1950,Wood,172952,4
1898,1983,Wood,487908,3
1899,2006,Wood,168819,4
1900,1961,Wood,258720,3
1901,2010,Wood,284255,3
1902,1989,Wood,160997,3
1903,1962,Brick and Wood,107843,3
1904,1993,Brick and Wood,154685,3
1905,1953,Brick,238933,4
1906,1956,Wood,210326,4
1907,1930,Brick,375714,3
1908,1987,Brick and Wood,73178,4
1909,1981,Brick,38957,4
1910,1965,Brick,253631,3
1911,1944,Brick and Wood,356807,4
1912,1945,Wood,126877,4
1913,2011,Brick and Wood,410977,4
1914,1998,Wood,259970,3
1915,1981,Brick,388213,4
1916,1935,Wood,302610,3
1917,1962,Brick,415026,3
1918,1988,Brick and Wood,392216,4
1919,2008,Brick,356573,3
1920,2008,Wood,449862,4
1921,1941,Wood,380892,3
1922,1978,Brick and Wood,321985,4
1923,1970,Wood,208326,4
1924,2001,Wood,377483,4
1925,1982,Wood,429475,3
1926,1983,Brick,263491,4
1927,1962,Brick,254120,3
1928,2013,Brick,285798,3
1929,1989,Brick,320919,4
1930,1974,Brick and Wood,483119,4
1931,1971,Brick,103549,4
1932,1932,Brick and Wood,405377,4
1933,1969,Wood,59426,4
1934,1934,Brick,32632,4
1935,1941,Brick and Wood,163134,4
1936,1941,Wood,420416,4
1937,1980,Wood,238230,4
1938,2011,Brick and Wood,144525,4
1939,1964,Brick and Wood,277678,3
1940,2004,Brick and Wood,67720,3
1941,2002,Brick and Wood,356558,3
1942,1941,Brick,232805,4
1943,1975,Brick and Wood,274274,4
1944,1951,Brick and Wood,486311,3
1945,1936,Brick,256407,4
1946,1978,Brick and Wood,287819,3
1947,1945,Brick and Wood,450483,4
1948,1938,Brick and Wood,363289,4
1949,1972,Brick,481556,3
1950,2009,Brick and Wood,468038,4
1951,1995,Brick and Wood,242484,4
1952,1934,Wood,289863,4
1953,1944,Brick and Wood,174097,4
1954,2016,Wood,431275,3
1955,1932,Brick and Wood,280394,3
1956,2006,Wood,321380,4
1957,1944,Brick and Wood,81202,3
1958,2006,Brick and Wood,133602,3
1959,1954,Brick,268676,4
1960,1969,Brick and Wood,50233,4
1961,1998,Wood,451025,4
1962,2003,Brick,237917,3
1963,1977,Brick,259972,3
1964,1960,Brick,147614,3
1965,1943,Brick,428936,3
1966,1979,Brick,451389,4
1967,1931,Wood,427653,3
1968,1978,Brick,297264,4
1969,1981,Wood,342219,3
1970,2003,Brick,425008,3
1971,1958,Brick and Wood,382683,3
1972,1963,Brick and Wood,204194,4
1973,1972,Brick and Wood,100307,4
1974,1960,Wood,152722,4
1975,1970,Brick,359027,4
1976,1993,Brick and Wood,88675,4
1977,1990,Brick,173583,4
1978,2013,Brick and Wood,288022,4
1979,1936,Brick and Wood,234260,4
1980,1989,Brick,364892,3
1981,1998,Brick,297897,3
1982,1983,Wood,473157,4
1983,1952,Wood,85287,4
1984,1942,Wood,184991,4
1985,1999,Brick and Wood,263207,3
1986,1992,Brick,436716,3
1987,1970,Wood,412896,4
1988,1976,Brick,482171,3
1989,1977,Brick,109974,3
1990,1986,Brick,254099,4
1991,2004,Wood,241828,4
1992,1995,Wood,300471,4
1993,1984,Wood,453048,3
1994,1989,Wood,231149,3
1995,1993,Brick and Wood,366552,3
1996,2001,Brick,222401,4
1997,1974,Brick and Wood,140603,4
1998,1984,Wood,57056,3
1999,1946,Brick,378561,4
2000,1941,Brick and Wood,197012,3
2001,1998,Brick and Wood,343732,3
2002,1994,Brick,462743,3
2003,1978,Brick,428847,4
2004,1932,Brick and Wood,348351,4
2005,2007,Brick,215336,3
2006,1996,Wood,153170,4
2007,1987,Brick and Wood,83265,4
2008,1940,Brick and Wood,172363,3
2009,1963,Wood,343985,4
2010,1967,Wood,182494,4
2011,2002,Wood,107416,3
2012,1970,Wood,225909,4
2013,1954,Brick and Wood,92077,3
2014,1956,Brick,316164,4
2015,1958,Brick,275297,4
2016,2014,Brick and Wood,471779,4
2017,1961,Wood,450534,3
2018,1975,Brick and Wood,280546,4
2019,2008,Brick and Wood,495722,4
2020,1979,Brick,482592,4
2021,1950,Wood,108801,3
2022,1970,Brick,186878,3
2023,1970,Brick,463898,4
2024,1946,Brick,47991,3
2025,1968,Brick,194484,3
2026,2009,Brick,182473,3
2027,1937,Brick and Wood,436157,3
2028,1944,Brick,353221,4
2029,1943,Brick and Wood,351288,3
2030,2006,Brick and Wood,130584,3
2031,1937,Brick and Wood,32449,4
2032,1952,Brick,357913,3
2033,1997,Brick and Wood,475454,4
2034,2013,Wood,354377,4
2035,1931,Brick and Wood,330780,3
2036,1969,Brick,382982,3
2037,1958,Wood,434263,3
2038,1975,Wood,347010,3
2039,1983,Brick and Wood,265176,4
2040,1993,Wood,273726,3
2041,1969,Brick,279626,4
2042,1933,Wood,167185,3
2043,1949,Wood,477910,4
2044,2006,Brick,498610,4
2045,1965,Brick,77783,4
2046,1997,Wood,125508,4
2047,1952,Brick,416092,3
2048,1957,Brick,419120,4
2049,1955,Brick and Wood,429319,3
2050,1934,Brick and Wood,365957,4
2051,1946,Brick and Wood,433840,3
2052,1988,Brick,301656,4
2053,1983,Brick,115655,4
2054,1940,Brick and Wood,230023,3
2055,1979,Brick,390292,3
2056,1956,Brick,381747,4
2057,1975,Brick,276305,3
2058,1939,Brick,152794,3
2059,2005,Brick,368853,4
2060,1968,Brick,181126,3
2061,2015,Wood,412071,4
2062,1946,Wood,151443,3
2063,1936,Wood,49668,3
2064,2003,Brick and Wood,403028,3
2065,2016,Wood,260267,3
2066,1977,Brick and Wood,166056,4
2067,1991,Brick,357111,4
2068,1947,Brick,252240,3
2069,1972,Brick and Wood,298347,4
2070,1954,Brick,497969,3
2071,1956,Wood,448714,4
2072,1946,Wood,245184,4
2073,1994,Brick and Wood,90325,3
2074,1997,Brick and Wood,371243,3
2075,2011,Wood,112848,3
2076,1963,Brick and Wood,96217,3
2077,1944,Wood,281761,3
2078,1993,Brick and Wood,195012,4
2079,1987,Brick,217258,4
2080,1983,Brick,368444,3
2081,1970,Wood,96673,3
2082,1950,Brick and Wood,189709,3
2083,1954,Brick,328804,4
2084,1971,Brick and Wood,230547,4
2085,1977,Wood,31234,3
2086,2001,Brick,338897,3
2087,1937,Brick and Wood,36062,3
2088,1979,Brick and Wood,426959,4
2089,1936,Brick and Wood,440683,4
2090,1950,Brick,147840,3
2091,1946,Brick and Wood,426006,4
2092,1939,Wood,72531,3
2093,1950,Brick and Wood,173580,3
2094,1982,Brick,125210,4
2095,1982,Brick,296135,3
2096,2000,Wood,336342,3
2097,1992,Brick and Wood,309575,4
2098,1969,Brick and Wood,434191,4
2099,2016,Brick,182723,3
2100,1957,Brick and Wood,98476,3
2101,1953,Brick and Wood,287951,4
2102,1981,Brick,294256,3
2103,1956,Brick and Wood,412250,4
2104,1952,Wood,324655,3
2105,1998,Wood,294183,3
2106,1937,Wood,167648,3
2107,1955,Brick,80691,3
2108,1967,Brick,169008,3
2109,1945,Brick and Wood,125782,4
2110,1935,Brick,415657,4
2111,1978,Brick,431060,3
2112,1955,Brick,377232,3
2113,1959,Wood,313100,3
2114,1955,Brick and Wood,471147,3
2115,2001,Wood,452814,3
2116,2014,Brick and Wood,173196,3
2117,1967,Brick,341510,4
2118,1932,Wood,93190,4
2119,1939,Brick,345637,3
2120,1954,Brick and Wood,472675,3
2121,2004,Brick,386022,3
2122,1983,Brick,37466,4
2123,1948,Brick,388507,4
2124,1934,Wood,138242,4
2125,2002,Brick,150623,4
2126,1962,Brick and Wood,232307,4
2127,2006,Brick,484524,4
2128,1933,Brick and Wood,309704,4
2129,1943,Wood,79975,4
2130,2007,Brick,224155,4
2131,1964,Brick and Wood,257792,3
2132,2004,Wood,422577,3
2133,1960,Wood,495106,4
2134,2002,Wood,177766,3
2135,1934,Wood,296707,3
2136,1993,Wood,431841,4
2137,1948,Wood,475768,4
2138,1977,Wood,130839,3
2139,1979,Brick and Wood,336582,3
2140,1948,Brick,99301,3
2141,2005,Brick and Wood,313084,3
2142,1999,Wood,62169,4
2143,1947,Brick,59950,3
2144,1939,Wood,32794,4
2145,1980,Wood,351355,3
2146,1957,Brick and Wood,319486,3
2147,2004,Wood,201176,3
2148,2003,Brick and Wood,400755,4
2149,1996,Brick,285315,4
2150,1947,Brick,415054,4
2151,1958,Brick,99649,4
2152,1944,Wood,46408,4
2153,1997,Brick and Wood,43112,3
2154,1999,Brick and Wood,139842,3
2155,1981,Wood,137904,4
2156,1952,Brick and Wood,72751,4
2157,1978,Brick and Wood,42566,3
2158,1978,Wood,175507,3
2159,1965,Brick and Wood,248070,4
2160,1992,Brick,404159,4
2161,1988,Brick and Wood,351209,3
2162,1936,Wood,478429,4
2163,1998,Wood,112587,4
2164,1969,Brick,408494,4
2165,1939,Brick,179883,4
2166,2001,Brick and Wood,165970,4
2167,1998,Brick and Wood,417437,3
2168,1945,Brick and Wood,161654,3
2169,1941,Wood,270338,3
2170,2004,Brick,116513,3
2171,1974,Wood,380944,3
2172,1969,Brick,37856,3
2173,1971,Brick and Wood,136073,3
2174,1948,Wood,62196,3
2175,1997,Brick,76365,4
2176,2007,Wood,37813,4
2177,1974,Brick,213126,3
2178,1992,Brick,495308,3
2179,2013,Wood,398398,4
2180,1952,Wood,37593,3
2181,1937,Brick,296307,3
2182,1974,Brick and Wood,404258,3
2183,1943,Brick and Wood,442982,3
2184,1983,Brick,386911,4
2185,1946,Wood,485060,4
2186,1947,Wood,325253,3
2187,1988,Wood,257001,3
2188,1976,Wood,451525,3
2189,1972,Brick,297065,3
2190,1988,Wood,200081,3
2191,1931,Wood,497472,3
2192,1937,Brick and Wood,46051,3
2193,1938,Brick and Wood,447110,4
2194,1968,Wood,470928,3
2195,1980,Brick,272557,3
2196,2002,Brick,413055,3
2197,1955,Wood,303921,3
2198,1990,Brick and Wood,48132,3
2199,1959,Wood,73329,3
2200,1972,Wood,355338,4
2201,1977,Brick and Wood,404978,4
2202,1953,Brick,370960,3
2203,1941,Wood,322442,4
2204,2006,Wood,325466,3
2205,1933,Brick,121296,4
2206,1992,Brick,380676,4
2207,1955,Brick and Wood,347368,4
2208,2013,Wood,156308,4
2209,1962,Brick,142195,4
2210,1955,Brick,32831,3
2211,1979,Wood,222531,4
2212,1998,Wood,70203,3
2213,1944,Wood,320496,4
2214,2009,Wood,281180,3
2215,1967,Brick,124630,3
2216,1933,Wood,35746,3
2217,1953,Brick,208830,3
2218,1991,Brick,243479,3
2219,1952,Brick and Wood,288694,4
2220,1997,Brick,421105,4
2221,1939,Brick and Wood,305190,3
2222,1973,Brick,195167,3
2223,1982,Brick and Wood,281282,4
2224,1949,Brick and Wood,197450,4
2225,1983,Brick and Wood,411663,4
2226,1944,Brick and Wood,422809,4
2227,1942,Wood,221541,4
2228,2009,Brick,382764,3
2229,1981,Brick,199181,4
2230,1995,Wood,195662,3
2231,1955,Brick,461750,4
2232,1946,Brick,71288,4
2233,2013,Brick,113242,4
2234,1949,Brick,227577,3
2235,1992,Brick,120242,4
2236,2010,Brick,102630,3
2237,1945,Brick and Wood,191756,4
2238,2001,Brick and Wood,81087,4
2239,1961,Brick,127351,3
2240,1936,Brick,101191,4
2241,2012,Brick and Wood,385949,4
2242,2006,Brick,44842,3
2243,1970,Brick and Wood,480739,3
2244,2012,Wood,47313,4
2245,1942,Brick,107047,4
2246,2002,Wood,168090,3
2247,1960,Wood,396974,4
2248,1954,Brick and Wood,483277,3
2249,1957,Brick,424944,4
2250,1930,Brick,476244,4
2251,1960,Brick and Wood,283108,4
2252,1962,Brick and Wood,446369,3
2253,1978,Brick,471097,3
2254,1981,Wood,355602,3
2255,1966,Wood,74152,4
2256,2002,Brick,142050,4
2257,1971,Brick and Wood,209957,3
2258,1973,Brick,396435,4
2259,1972,Brick,331434,4
2260,1973,Wood,399405,3
2261,1975,Brick,113557,4
2262,2013,Brick and Wood,420762,4
2263,2014,Brick and Wood,131070,4
2264,1953,Wood,259616,4
2265,1953,Wood,439202,4
2266,1993,Brick and Wood,206286,4
2267,1973,Wood,270077,4
2268,1984,Brick,456839,4
2269,1943,Brick,427387,3
2270,2013,Wood,193711,3
2271,1946,Brick,340750,3
2272,1974,Brick and Wood,375356,3
2273,2008,Brick and Wood,245091,3
2274,1947,Wood,36781,3
2275,2003,Brick and Wood,241354,3
2276,1987,Brick and Wood,364995,4
2277,2002,Wood,363250,3
2278,2003,Brick,365107,3
2279,1977,Brick and Wood,141606,3
2280,1978,Brick,192451,3
2281,1937,Brick,320784,4
2282,2005,Brick and Wood,60563,3
2283,1961,Wood,218219,4
2284,1994,Brick and Wood,305240,4
2285,1932,Wood,497664,3
2286,1978,Brick,429982,4
2287,2008,Brick,301916,4
2288,1994,Brick,54026,4
2289,1987,Brick and Wood,479138,3
2290,1965,Brick,133352,4
2291,1979,Brick,157333,4
2292,1954,Wood,137804,3
2293,1978,Brick and Wood,191197,4
2294,1975,Brick,168246,3
2295,1979,Brick and Wood,475824,3
2296,1965,Wood,346385,4
2297,1962,Brick and Wood,413064,3
2298,1942,Wood,425525,4
2299,1983,Brick and Wood,427577,4
2300,2015,Wood,314633,3
2301,1999,Brick,475457,3
2302,1950,Brick,104242,4
2303,1976,Wood,49152,3
2304,2004,Brick,498495,4
2305,1993,Brick,498894,4
2306,1981,Brick and Wood,181346,4
2307,1991,Brick,71476,4
2308,1978,Wood,156953,3
2309,1957,Brick and Wood,222372,4
2310,1948,Brick and Wood,367980,4
2311,1931,Brick and Wood,274379,4
2312,2008,Brick,490646,4
2313,2008,Brick and Wood,108579,4
2314,1941,Wood,60706,3
2315,1972,Wood,409727,3
2316,2012,Wood,348251,3
2317,1974,Brick and Wood,83296,3
2318,2002,Brick and Wood,217731,4
2319,1953,Wood,491140,4
2320,1941,Wood,472890,4
2321,1991,Wood,110428,4
2322,1938,Wood,437511,4
2323,1943,Wood,40350,4
2324,1998,Brick,453572,3
2325,1977,Brick,336491,3
2326,1981,Wood,477376,3
2327,1997,Brick,469402,4
2328,2010,Brick and Wood,234349,4
2329,1938,Wood,380469,4
2330,1992,Brick,73030,4
2331,1962,Wood,461345,4
2332,1936,Brick,471414,4
2333,1959,Brick and Wood,94079,4
2334,1950,Wood,450453,3
2335,1940,Brick,474143,4
2336,2010,Wood,319558,4
2337,1985,Wood,259201,4
2338,1961,Wood,363393,3
2339,1934,Brick and Wood,286539,4
2340,1998,Wood,318632,4
2341,1985,Brick,30625,3
2342,1974,Brick,250415,4
2343,1964,Wood,360815,3
2344,2009,Brick and Wood,129118,3
2345,1942,Wood,286070,4
2346,2003,Brick and Wood,343281,4
2347,1974,Brick and Wood,309873,3
2348,2008,Brick and Wood,105599,3
2349,1959,Wood,198972,3
2350,1966,Brick,303879,4
2351,1937,Brick and Wood,193177,4
2352,1941,Wood,82988,3
2353,1964,Brick and Wood,282115,3
2354,1933,Brick and Wood,73264,4
2355,1976,Wood,157604,3
2356,1974,Wood,291418,3
2357,1975,Brick and Wood,259908,3
2358,1932,Brick,150521,3
2359,1935,Brick,201655,4
2360,1977,Wood,58026,3
2361,1944,Wood,413368,3
2362,1942,Brick and Wood,367946,4
2363,2008,Brick,125236,4
2364,1946,Brick,325588,4
2365,1935,Brick and Wood,246829,4
2366,1938,Wood,329173,4
2367,1986,Wood,159584,4
2368,1967,Brick,132941,3
2369,2008,Brick,41562,4
2370,2003,Wood,153601,4
2371,1980,Brick and Wood,478852,3
2372,1946,Brick,398248,3
2373,1997,Brick,267373,4
2374,2008,Brick and Wood,38643,4
2375,1999,Wood,124780,4
2376,1978,Brick,375067,4
2377,1972,Brick and Wood,170620,4
2378,1945,Wood,374393,4
2379,1993,Wood,58024,4
2380,1935,Brick and Wood,76095,4
2381,1947,Brick and Wood,100107,4
2382,2008,Wood,231681,4
2383,1980,Brick and Wood,243714,3
2384,1972,Brick,95293,3
2385,1959,Brick and Wood,178873,3
2386,2011,Brick,34566,4
2387,1932,Brick and Wood,229482,4
2388,1952,Brick and Wood,158263,3
2389,1949,Wood,282610,4
2390,1967,Brick and Wood,44135,4
2391,1976,Wood,316983,4
2392,1995,Brick,424975,3
2393,1994,Brick and Wood,224526,3
2394,1948,Brick and Wood,134951,3
2395,1956,Brick,312749,3
2396,1989,Brick,188532,3
2397,2002,Wood,158470,4
2398,2000,Brick,218906,4
2399,2004,Brick and Wood,389477,3
2400,1937,Brick,327620,4
2401,2001,Brick and Wood,246076,4
2402,2002,Brick and Wood,283935,3
2403,1961,Brick,195967,3
2404,1955,Brick,489356,4
2405,1947,Brick and Wood,288710,3
2406,2005,Brick,124703,4
2407,1994,Brick,389677,4
2408,1943,Brick and Wood,303200,3
2409,1945,Brick,286559,3
2410,1954,Brick and Wood,155138,4
2411,1932,Brick,289993,4
2412,1958,Wood,307551,3
2413,1993,Brick and Wood,231972,4
2414,1934,Brick and Wood,196263,3
2415,1942,Wood,466159,3
2416,2016,Wood,261529,3
2417,1938,Wood,416118,4
2418,1998,Brick,124816,3
2419,1931,Brick and Wood,447337,4
2420,2001,Wood,487883,4
2421,1947,Wood,89074,4
2422,1959,Brick,273717,3
2423,1990,Wood,366890,4
2424,1986,Brick,471468,4
2425,1995,Brick and Wood,377937,3
2426,1940,Brick and Wood,205013,4
2427,1996,Brick and Wood,343253,3
2428,2008,Wood,386209,4
2429,1997,Wood,214950,4
2430,1945,Brick,287039,3
2431,1993,Brick,294467,3
2432,1949,Brick and Wood,322477,3
2433,1933,Brick and Wood,106684,3
2434,2006,Brick,82415,4
2435,1944,Brick,126670,3
2436,1966,Brick,288146,3
2437,1967,Brick and Wood,178406,4
2438,1975,Brick and Wood,53517,4
2439,1978,Brick,219038,4
2440,1978,Wood,320349,3
2441,1945,Brick and Wood,483888,3
2442,1931,Brick,186421,4
2443,1941,Wood,85042,4
2444,1957,Brick,208658,3
2445,1936,Wood,390951,4
2446,1986,Wood,147369,4
2447,1957,Brick and Wood,248420,4
2448,2013,Brick and Wood,437380,4
2449,2007,Wood,72300,3
2450,1945,Brick and Wood,440224,3
2451,1975,Brick and Wood,93382,3
2452,2007,Wood,255664,3
2453,1985,Brick,80685,4
2454,1938,Brick and Wood,64674,4
2455,1950,Brick,441697,4
2456,2014,Brick,451260,4
2457,2000,Brick and Wood,123217,3
2458,1976,Brick,315485,3
2459,1965,Wood,87940,4
2460,1943,Wood,88614,3
2461,1943,Brick,81743,3
2462,1934,Brick,279096,4
2463,1985,Brick,224226,3
2464,1944,Brick,48661,3
2465,1945,Brick,421817,3
2466,1949,Brick and Wood,437787,4
2467,1967,Brick and Wood,408639,3
2468,1930,Brick,156609,4
2469,1954,Wood,78999,4
2470,2005,Brick and Wood,161177,4
2471,1994,Wood,186973,3
2472,1979,Wood,220162,3
2473,2006,Brick and Wood,166080,4
2474,1990,Wood,129414,4
2475,1998,Brick and Wood,257861,4
2476,1969,Brick and Wood,237139,3
2477,1950,Wood,239920,4
2478,1940,Brick and Wood,321239,4
2479,1983,Brick,473671,3
2480,1996,Wood,287733,4
2481,1979,Wood,359224,3
2482,1938,Brick and Wood,129285,4
2483,2001,Brick and Wood,105706,4
2484,2011,Wood,378735,3
2485,1956,Brick,300757,3
2486,1932,Wood,175158,4
2487,1937,Brick and Wood,366566,3
2488,1935,Wood,449485,3
2489,1973,Wood,450886,4
2490,2000,Brick,402528,4
2491,1978,Wood,347776,3
2492,1982,Brick and Wood,138513,4
2493,1956,Brick and Wood,469233,4
2494,1991,Brick,224286,4
2495,2006,Brick,243006,4
2496,1980,Brick and Wood,89222,4
2497,1986,Wood,196724,3
2498,1942,Brick,296976,3
2499,2012,Brick,330611,4
2500,1961,Brick,161322,3
2501,1977,Wood,438477,3
2502,1966,Brick,466622,4
2503,1987,Brick,407427,4
2504,1937,Wood,437082,3
2505,1974,Brick,83838,4
2506,1954,Wood,447034,3
2507,1979,Wood,165756,3
2508,1941,Brick and Wood,92991,4
2509,2013,Brick,291734,4
2510,1943,Brick,88637,4
2511,1973,Brick,334762,4
2512,2001,Wood,487662,3
2513,1942,Brick and Wood,82105,4
2514,2002,Brick and Wood,400153,3
2515,2002,Brick and Wood,413820,4
2516,2012,Brick and Wood,290054,4
2517,1936,Brick,488562,3
2518,1951,Wood,58623,4
2519,1973,Wood,352327,3
2520,1939,Brick,210200,4
2521,1997,Brick,227551,4
2522,2009,Brick and Wood,188307,3
2523,1998,Brick and Wood,285027,4
2524,1984,Brick and Wood,330944,3
2525,2015,Brick,420927,4
2526,2002,Brick,60445,4
2527,1950,Brick and Wood,242173,4
2528,1939,Brick,144219,3
2529,1975,Wood,415323,4
2530,1936,Brick and Wood,455323,3
2531,1985,Brick,411633,4
2532,1946,Wood,319123,4
2533,2015,Brick,31150,3
2534,1997,Brick,235351,3
2535,2000,Wood,304701,3
2536,1968,Brick,70741,3
2537,2003,Wood,69677,4
2538,1975,Wood,134258,3
2539,1957,Brick,78750,4
2540,1999,Brick and Wood,57829,4
2541,1978,Wood,171947,4
2542,2012,Brick and Wood,393674,3
2543,1995,Wood,466753,3
2544,2000,Wood,478030,4
2545,1953,Brick,248931,3
2546,1941,Brick and Wood,408070,4
2547,1954,Wood,274125,4
2548,2016,Brick and Wood,127491,4
2549,1971,Wood,484611,3
2550,1976,Wood,148111,4
2551,2010,Brick and Wood,295690,3
2552,1999,Brick,417332,3
2553,1951,Brick and Wood,394394,3
2554,1973,Brick and Wood,160289,4
2555,1930,Wood,373727,3
2556,1960,Brick and Wood,35073,3
2557,1966,Brick and Wood,223303,3
2558,1977,Wood,212362,4
2559,1975,Wood,112475,3
2560,2010,Wood,106702,3
2561,1955,Brick,360124,4
2562,1947,Wood,196970,4
2563,1992,Brick and Wood,457379,4
2564,1937,Brick and Wood,386901,4
2565,2006,Brick,395270,4
2566,1931,Wood,419707,3
2567,1976,Wood,398848,3
2568,1954,Brick,459464,3
2569,2013,Brick and Wood,294268,3
2570,1934,Wood,313608,4
2571,1984,Wood,276883,4
2572,1956,Brick,210344,4
2573,1963,Brick,304376,4
2574,1959,Wood,53141,3
2575,2010,Brick,234488,3
2576,1938,Brick,99352,3
2577,1962,Brick and Wood,395597,4
2578,1968,Wood,377231,4
2579,1933,Brick,383352,3
2580,2004,Wood,147984,3
2581,1947,Wood,118955,3
2582,1998,Brick and Wood,377184,3
2583,1962,Wood,301805,4
2584,1959,Brick and Wood,287735,4
2585,2015,Brick and Wood,40046,4
2586,1945,Brick and Wood,486661,3
2587,1931,Wood,162000,4
2588,1960,Brick and Wood,51224,4
2589,1943,Wood,428472,3
2590,1971,Wood,301559,3
2591,2007,Wood,100491,4
2592,1956,Brick,174148,4
2593,1988,Brick,497244,3
2594,2016,Brick,373102,3
2595,1960,Brick,430699,3
2596,1963,Brick,63873,3
2597,1980,Brick and Wood,83252,4
2598,1944,Brick,181149,3
2599,1985,Brick,231246,3
2600,1993,Brick,282468,4
2601,1981,Wood,45563,4
2602,2004,Brick and Wood,301516,4
2603,1946,Wood,159421,4
2604,1931,Brick,421102,4
2605,1954,Wood,198515,3
2606,2016,Brick and Wood,114305,4
2607,1962,Brick and Wood,177043,3
2608,1995,Wood,120365,4
2609,1952,Wood,246349,4
2610,1996,Brick and Wood,399453,4
2611,2014,Brick and Wood,297685,3
2612,1955,Brick,292418,4
