reportno,date,description,street ,zipcode
3908,2016-10-03,Not Customer's fault,5730 WILLIAM PENN HW,61867
3909,2014-10-13,Everyone's fault,5731 JOHNSTOWN RD,62066
3910,2015-08-08,Not Customer's fault,5732 PENN LINCOLN PY,62190
3911,2015-09-26,Not Customer's fault,5733 NORTHERN PK,61250
3912,2016-02-04,Customer's fault,5734 BABCOCK BL,60590
3913,2014-07-15,Not Customer's fault,5735 SR 0910 SH,62581
3914,2015-04-12,Not Customer's fault,5736 PERRY HW,62048
3915,2014-09-25,Not Customer's fault,5737 BRODHEAD RD,61676
3916,2014-09-30,Everyone's fault,5738 VANADIUM RD,62539
3917,2014-11-19,Not Customer's fault,5739 AIRPORT PY,60791
3918,2015-10-12,Not Customer's fault,5740 BROWNSVILLE RD,62032
3919,2015-07-23,Not Customer's fault,5741 HOMESTEAD GRAY'S BR,60200
3920,2015-04-29,Not Customer's fault,5742 CAROTHERS AV,62179
3921,2016-03-11,Everyone's fault,5743 FIFTH AV,61680
3922,2014-12-16,Customer's fault,5744 WILKINS AV,60197
3923,2015-03-15,Not Customer's fault,5745 WARRENDALE BAYNE RD,60824
3924,2015-07-30,Customer's fault,5746 MANSFIELD AV,60871
3925,2015-04-02,Not Customer's fault,5747 BEULAH RD,60783
3926,2016-11-30,Customer's fault,5748 HULTON RD,60202
3927,2015-10-21,Customer's fault,5749 MILLTOWN RD,61350
3928,2014-08-10,Customer's fault,5750 UNITY CENTER RD,60967
3929,2015-10-14,Not Customer's fault,5751 BROWNSVILLE RD,61189
3930,2016-01-27,Not Customer's fault,5752 RT. 837 RAMP TO RT. 51 HW,61470
3931,2015-10-27,Customer's fault,5753 BLVD OF THE ALLIES BL,61627
3932,2015-10-14,Everyone's fault,5754 WILLIAM FLYNN HW,61536
3933,2016-08-11,Not Customer's fault,5755 HAYDEN BL,60182
3934,2016-08-25,Customer's fault,5756 CLAIRTON BL,60413
3935,2015-06-22,Customer's fault,5757 HI LEVEL BR,60925
3936,2015-07-07,Not Customer's fault,5758 LONGFELLOW DR,62095
3937,2014-10-15,Not Customer's fault,5759 KITTANNING ST,60279
3938,2015-10-15,Customer's fault,5760 CLAIRTON BL,60157
3939,2016-11-28,Everyone's fault,5761 HUNT RD,62522
3940,2016-04-07,Not Customer's fault,5762 PERRY HW,61179
3941,2016-08-11,Customer's fault,5763 SR 0022 SH,61212
3942,2015-03-09,Customer's fault,5764 SR 0022 SH,60292
3943,2016-07-04,Customer's fault,5765 FIFTH AV,61994
3944,2015-06-10,Customer's fault,5766 CURRY HOLLOW RD,62314
3945,2015-07-08,Customer's fault,5767 WILLIAM FLYNN HW,61891
3946,2015-03-16,Everyone's fault,5768 MT ROYAL BL,60302
3947,2016-02-09,Customer's fault,5769 VANADIUM RD,60359
3948,2016-04-09,Customer's fault,5770 SPRING GARDEN AV,60526
3949,2016-12-26,Customer's fault,5771 GREENTREE RD,60498
3950,2014-07-14,Customer's fault,5772 MEADOWLARK DR,61082
3951,2014-09-29,Everyone's fault,5773 GREENTREE RD,60302
3952,2014-07-20,Customer's fault,5774 PA STATE ROUTE 8 HW,61096
3953,2015-01-24,Everyone's fault,5775 WILDWOOD RD,61210
3954,2015-11-20,Not Customer's fault,5776 WEST RUN ROAD RD,60548
3955,2014-12-13,Customer's fault,5777 WALL AV,61893
3956,2016-02-12,Customer's fault,5778 SAW MILL RUN BL,60349
3957,2015-07-03,Customer's fault,5779 AMITY ST,62508
3958,2015-09-01,Everyone's fault,5780 CRAIG ST,61312
3959,2015-06-03,Not Customer's fault,5781 ALLEGHENY VALLEY EX,61357
3960,2015-12-07,Customer's fault,5782 CARLETON DR,62389
3961,2014-09-06,Not Customer's fault,5783 SCENERY DR,62413
3962,2016-03-06,Customer's fault,5784 THORN RUN INT/RAMP B RD,61393
3963,2015-01-22,Not Customer's fault,5785 LESNETT RD,62360
3964,2016-09-28,Everyone's fault,5786 FIELD CLUB RD,60838
3965,2015-04-16,Not Customer's fault,5787 BABCOCK BL,62504
3966,2016-03-26,Everyone's fault,5788 PENN AV,60861
3967,2014-12-12,Not Customer's fault,5789 VANADIUM RD,60813
3968,2014-11-25,Everyone's fault,5790 KELSO RD,61938
3969,2015-04-22,Everyone's fault,5791 WEST RUN RD,60770
3970,2015-07-23,Not Customer's fault,5792 WEXFORD RD,61922
3971,2015-10-26,Everyone's fault,5793 BEAVER GRADE RD,61343
3972,2016-07-15,Everyone's fault,5794 GREENTREE RD,60358
3973,2016-07-18,Not Customer's fault,5795 3RD AV,60839
3974,2016-11-16,Customer's fault,5796 BRODHEAD RD,61195
3975,2016-07-24,Customer's fault,5797 CORAOPOLIS HEIGHTS RD,61174
3976,2015-11-26,Not Customer's fault,5798 NORTHERN PK,61565
3977,2015-09-08,Everyone's fault,5799 MONTOUR RUN RD,61297
3978,2015-04-27,Customer's fault,5800 UNIVERSAL RD,60868
3979,2014-05-29,Customer's fault,5801 VERONA RD,60214
3980,2016-04-27,Not Customer's fault,5802 FRANKSTOWN RD,62267
3981,2016-01-01,Not Customer's fault,5803 THOMPSON RUN RD,62534
3982,2014-12-07,Not Customer's fault,5804 RODI RD,61094
3983,2016-11-15,Everyone's fault,5805 INDIANA RD,60589
3984,2015-04-01,Customer's fault,5806 FRANKSTOWN RD,60565
3985,2015-12-31,Customer's fault,5807 VERONA RD,61013
3986,2015-04-02,Not Customer's fault,5808 CLAIRTON BL,61011
3987,2014-08-30,Customer's fault,5809 WEXFORD BAYNE RD,60478
3988,2014-09-30,Not Customer's fault,5810 BRODHEAD RD,62235
3989,2015-05-30,Not Customer's fault,5811 MACASSAR DR,60871
3990,2014-05-21,Everyone's fault,5812 MANSFIELD BL,60451
3991,2015-06-10,Customer's fault,5813 GREENTREE RD,60183
3992,2016-01-07,Everyone's fault,5814 CLAIRTON RD,60939
3993,2014-05-10,Customer's fault,5815 BROWNSVILLE RD,62362
3994,2015-08-28,Not Customer's fault,5816 BUTLER ST,60785
3995,2014-12-17,Everyone's fault,5817 WILLIAM FLYNN HW,61807
3996,2014-05-10,Customer's fault,5818 CATHERINE DR,62211
3997,2015-06-10,Not Customer's fault,5819 MONTOUR RUN RD,61553
3998,2016-12-22,Everyone's fault,5820 WASHINGTON AV,60710
3999,2014-08-08,Everyone's fault,5821 MANSFIELD AV,60508
4000,2015-02-21,Everyone's fault,5822 BINGHAM DR,61895
4001,2014-10-04,Customer's fault,5823 CLAIRTON BL,62059
4002,2015-05-16,Not Customer's fault,5824 RAMP A ST,62101
4003,2016-11-26,Everyone's fault,5825 NEW BRIGHTON AVE ST,60932
4004,2014-12-27,Customer's fault,5826 WOODLAWN AVE AV,62056
4005,2016-08-26,Customer's fault,5827 GREENTREE RD,62424
4006,2015-08-16,Everyone's fault,5828 ROUTE 8 HW,60944
4007,2016-02-19,Not Customer's fault,5829 BRENNAN RD,60158
4008,2016-06-28,Everyone's fault,5830 BECKS RUN RD,61090
4009,2015-06-28,Everyone's fault,5831 SOOSE RD,61215
4010,2016-06-12,Customer's fault,5832 LOCUST RIDGE DR,61990
4011,2014-04-10,Everyone's fault,5833 BEERS SCHOOL RD,61386
4012,2016-03-04,Customer's fault,5834 MIDDLE RD,61612
4013,2015-07-01,Customer's fault,5835 WOODLAWN AV,61983
4014,2016-06-04,Not Customer's fault,5836 PERRY HW,60563
4015,2016-11-17,Not Customer's fault,5837 FOX CHAPEL RD,62584
4016,2016-07-02,Customer's fault,5838 MT ROYAL BL,60336
4017,2015-02-12,Customer's fault,5839 WASHINGTON RD,60891
4018,2014-05-04,Customer's fault,5840 GREENTREE RD,61418
4019,2016-08-19,Customer's fault,5841 COAL VALLEY NO. 1 RD,61062
4020,2016-07-20,Everyone's fault,5842 WALNUT AV,62142
4021,2014-04-29,Customer's fault,5843 HOMESTEAD HIGH LEVEL BR,60706
4022,2015-02-27,Everyone's fault,5844 8TH AV,61904
4023,2014-12-27,Customer's fault,5845 PATTON ST,60468
4024,2014-12-01,Everyone's fault,5846 WILLIAM PENN HW,61934
4025,2016-08-28,Not Customer's fault,5847 NORTHERN PK,61353
4026,2016-01-14,Customer's fault,5848 WILLIAM PENN HW,60882
4027,2016-01-12,Not Customer's fault,5849 SOOSE RD,61923
4028,2016-10-06,Customer's fault,5850 POPLAR ST,60155
4029,2014-12-17,Everyone's fault,5851 STATE ST,61525
4030,2016-01-16,Customer's fault,5852 ANN ST,60139
4031,2014-05-12,Everyone's fault,5853 SAUNDERS STATION RD,61664
4032,2014-05-15,Not Customer's fault,5854 CLAIRTON BL,62415
4033,2014-04-10,Customer's fault,5855 SAUNDERS STATION RD,60587
4034,2016-07-12,Not Customer's fault,5856 WILLIAM FLYNN HW,62606
4035,2015-09-27,Everyone's fault,5857 GIBSONIA RD,62131
4036,2015-11-29,Everyone's fault,5858 MCKEESPORT RD,62434
4037,2015-08-12,Everyone's fault,5859 BEATTY RD,60378
4038,2016-06-24,Customer's fault,5860 HILLCREST AV,62585
4039,2015-09-03,Customer's fault,5861 CLAIRTON BL,61398
4040,2015-07-27,Not Customer's fault,5862 OLD HAYMAKER RD,61823
4041,2016-05-23,Not Customer's fault,5863 ROSS ST,62307
4042,2016-09-01,Everyone's fault,5864 GREENTREE RD,62410
4043,2015-05-14,Customer's fault,5865 WEST MAIN ST,61219
4044,2016-05-21,Everyone's fault,5866 PERRY HW,62466
4045,2014-08-14,Everyone's fault,5867 GREENTREE RD,62477
4046,2015-03-13,Not Customer's fault,5868 WILLIAM PENN HW,62446
4047,2015-07-07,Everyone's fault,5869 BRODHEAD RD,62203
4048,2015-09-25,Customer's fault,5870 BANK ST,62345
4049,2015-11-23,Everyone's fault,5871 CLAIRTON BL,62446
4050,2015-02-18,Not Customer's fault,5872 HARDT RD,60229
4051,2016-06-04,Everyone's fault,5873 WARRENDALE-BAYNE RD,60885
4052,2016-04-13,Customer's fault,5874 EAST BRUCETON RD,60920
4053,2015-01-25,Customer's fault,5875 OLD STEUBENVILLE PK,61530
4054,2015-08-02,Customer's fault,5876 PENN CIRCLE AV,62110
4055,2014-12-01,Customer's fault,5877 FIFTH AV,61906
4056,2014-12-06,Everyone's fault,5878 CLIFFMINE RD,60440
4057,2016-08-09,Customer's fault,5879 HAYDEN BL,61651
4058,2015-05-01,Everyone's fault,5880 CARNEGIE INT/RAMP E RD,61736
4059,2015-11-23,Everyone's fault,5881 FORBES AV,60495
4060,2014-06-14,Customer's fault,5882 UNION AV,60823
4061,2016-10-01,Not Customer's fault,5883 SCOTIA HOLLOW RD,61649
4062,2014-12-03,Customer's fault,5884 MT ROYAL BL,61572
4063,2014-05-30,Everyone's fault,5885 FOX CHAPEL RD,62381
4064,2014-04-21,Not Customer's fault,5886 BUTLER ST,60227
4065,2014-12-04,Not Customer's fault,5887 PERRY HW,61194
4066,2016-05-26,Not Customer's fault,5888 RACEWAY PLAZA LT,61164
4067,2015-07-06,Customer's fault,5889 GREENTREE RD,61621
4068,2016-11-30,Everyone's fault,5890 WILLIAM FLYNN HW,62093
4069,2016-06-28,Customer's fault,5891 DESIDERIO AV,60533
4070,2016-09-10,Everyone's fault,5892 FIFTH AV,62606
4071,2016-05-18,Everyone's fault,5893 MCCLURE ST,62536
4072,2016-06-20,Not Customer's fault,5894 CALIFORNIA AV,62157
4073,2016-01-29,Customer's fault,5895 OLD FRANKSTOWN RD,61989
4074,2016-04-08,Everyone's fault,5896 WASHINGTON RD,60485
4075,2015-01-27,Not Customer's fault,5897 8TH AV,61074
4076,2015-01-02,Not Customer's fault,5898 GIBSONIA RD,62549
4077,2015-07-16,Customer's fault,5899 PERRY HW,61480
4078,2014-08-11,Customer's fault,5900 DAVIS AV,60363
4079,2014-12-14,Not Customer's fault,5901 CLAIRTON BL,61865
4080,2015-10-25,Customer's fault,5902 WILLIAM FLYNN HW,60291
4081,2015-05-16,Everyone's fault,5903 WASHINGTON RD,60358
4082,2016-08-09,Customer's fault,5904 UNIVERSITY BL,62347
4083,2016-11-28,Everyone's fault,5905 ISLAND AV,60132
4084,2015-07-24,Everyone's fault,5906 RIVER RD,60561
4085,2016-08-27,Customer's fault,5907 MILLER AV,61814
4086,2016-07-21,Not Customer's fault,5908 PERRY HW,62465
4087,2016-02-21,Customer's fault,5909 WILLIAM FLYNN HW,61116
4088,2016-06-29,Everyone's fault,5910 W EIGHTH AV,60815
4089,2015-08-23,Everyone's fault,5911 BAKERSTOWN-CULMERVILLE RD,62053
4090,2014-06-17,Not Customer's fault,5912 PERRY HW,62580
4091,2014-10-24,Everyone's fault,5913 OHIO RIVER BL,60498
4092,2016-08-23,Not Customer's fault,5914 WILLIAM FLYNN HW,61783
4093,2014-11-13,Customer's fault,5915 GIBSONIA RD,61330
4094,2014-09-05,Customer's fault,5916 HAYDEN BL,60884
4095,2014-04-23,Customer's fault,5917 CLAIRTON BL,61495
4096,2016-08-24,Customer's fault,5918 CRAMDEN RD,60435
4097,2015-03-24,Customer's fault,5919 SCENERY DR,60172
4098,2014-05-07,Not Customer's fault,5920 CLAIRTON BL,61830
4099,2016-03-14,Customer's fault,5921 WEST RUN RD,62553
4100,2014-12-31,Not Customer's fault,5922 MAYER ST,60164
4101,2015-07-15,Everyone's fault,5923 BUCKINGHAM RD,62546
4102,2014-06-14,Everyone's fault,5924 GOLDEN MILE HW,61649
4103,2016-06-21,Not Customer's fault,5925 NORTHERN PK,60539
4104,2015-12-08,Customer's fault,5926 MOSSIDE BL,61575
4105,2016-07-14,Everyone's fault,5927 BEAVER GRADE RD,61138
4106,2014-05-11,Everyone's fault,5928 PERRY HWY HW,61641
4107,2016-02-18,Everyone's fault,5929 WASHINGTON AV,60604
4108,2014-05-01,Everyone's fault,5930 FIFTH AV,60951
4109,2015-08-21,Not Customer's fault,5931 FORBES AV,61580
4110,2016-01-09,Not Customer's fault,5932 WEXFORD BAYNE RD,60762
4111,2015-04-08,Not Customer's fault,5933 WM FLYNN HW,60160
4112,2014-10-29,Customer's fault,5934 6001 STONEWOOD LT,60488
4113,2016-11-01,Everyone's fault,5935 WEXFORD BAYNE RD,60945
4114,2016-07-14,Customer's fault,5936 BRODHEAD RD,62007
4115,2016-04-06,Not Customer's fault,5937 BROWNSVILLE RD,61177
4116,2015-10-07,Everyone's fault,5938 WASHINGTON RD,60610
4117,2015-02-25,Not Customer's fault,5939 MCGOVERN RD,60259
4118,2016-12-25,Everyone's fault,5940 BROAD ST,61545
4119,2014-04-09,Not Customer's fault,5941 CLAIRTON BL,61889
4120,2014-07-29,Customer's fault,5942 STOTLER RD,61330
4121,2016-10-19,Customer's fault,5943 WILLIAM FLYNN HW,60187
4122,2016-10-31,Everyone's fault,5944 BAILYES RUN RD,60618
4123,2014-04-24,Everyone's fault,5945 COAL VALLEY # 2 RD,60715
4124,2015-08-10,Everyone's fault,5946 NEW BRIGHTON RD,62138
4125,2015-10-16,Everyone's fault,5947 CLENDENNING RD,61196
4126,2014-12-15,Not Customer's fault,5948 WILLIAM FLYNN HW,61718
4127,2015-06-07,Customer's fault,5949 SR 0910 SH,60291
4128,2016-01-12,Not Customer's fault,5950 EAST WATERFRONT DR,61777
4129,2015-09-14,Everyone's fault,5951 EAST MAIN ST,61468
4130,2015-01-04,Not Customer's fault,5952 OLD WASHINGTON RD,61637
4131,2015-12-12,Everyone's fault,5953 WASHINGTON RD,61874
4132,2014-10-17,Everyone's fault,5954 BEULAH RD,60702
4133,2016-03-20,Customer's fault,5955 WASHINGTON RD,61406
4134,2016-07-01,Everyone's fault,5956 DIVISION AV,61409
4135,2014-05-20,Everyone's fault,5957 WASHINGTON RD,62361
4136,2016-11-10,Customer's fault,5958 WASHINGTON RD,62412
4137,2014-05-29,Everyone's fault,5959 WASHINGTON RD,60358
4138,2016-09-13,Not Customer's fault,5960 MOSSIDE BL,62220
4139,2014-12-25,Everyone's fault,5961 CORRIGAN DR,60698
4140,2016-10-07,Not Customer's fault,5962 CLAIRTON BL,60143
4141,2016-11-06,Everyone's fault,5963 HOMESTEAD GRAYS BRIDGE BR,62383
4142,2014-07-13,Everyone's fault,5964 W EIGHTH AV,62383
4143,2014-10-06,Everyone's fault,5965 SUNNY SLOPE RD,62445
4144,2016-12-19,Not Customer's fault,5966 LINCOLN AV,60489
4145,2014-06-04,Customer's fault,5967 WILLIAM FLYNN HW,62247
4146,2016-05-12,Not Customer's fault,5968 CRYSTAL VIEW DR,62204
4147,2014-08-17,Everyone's fault,5969 GILL HALL RD,61522
4148,2016-10-11,Customer's fault,5970 CLAIRTON BL,61862
4149,2015-08-18,Not Customer's fault,5971 UNIVERSITY BL,61495
4150,2014-06-21,Not Customer's fault,5972 PLEASANT HILLS RD,60143
4151,2014-09-02,Customer's fault,5973 CHURCH RD,60762
4152,2015-07-24,Customer's fault,5974 GREENTREE RD,61826
4153,2015-09-04,Not Customer's fault,5975 SPRING RUN ET,60267
4154,2015-05-20,Everyone's fault,5976 SEAVEY RD,60170
4155,2016-08-23,Everyone's fault,5977 OLD CRAIRTON RD,60213
4156,2015-07-31,Customer's fault,5978 MT ROYAL BL,62574
4157,2015-12-21,Not Customer's fault,5979 THORNHILL RD,61306
4158,2014-08-06,Not Customer's fault,5980 WILDWOOD RD,61900
4159,2014-11-29,Customer's fault,5981 MONTOUR RUN RD,61220
4160,2015-07-20,Everyone's fault,5982 CAROTHERS AV,62422
4161,2016-01-02,Everyone's fault,5983 ACADEMY ST,60473
4162,2015-03-12,Everyone's fault,5984 SAW MILL RUN BL,62498
4163,2015-12-19,Not Customer's fault,5985 LEBANON CHURCH RD,61659
4164,2015-08-27,Customer's fault,5986 PITTSBURGH ST,61603
4165,2015-09-08,Everyone's fault,5987 GREENTREE RD,61488
4166,2014-09-04,Customer's fault,5988 CURRY HOLLOW RD,62472
4167,2014-12-03,Customer's fault,5989 N SCHOOL ST,61918
4168,2016-12-23,Not Customer's fault,5990 MCPHERSON AV,60470
4169,2015-08-13,Everyone's fault,5991 N BALPH AV,61384
4170,2015-05-03,Customer's fault,5992 CLAIRTON BL,60396
4171,2014-09-13,Customer's fault,5993 HAYDEN BL,60606
4172,2016-05-21,Not Customer's fault,5994 WEST ST,61355
4173,2016-12-15,Customer's fault,5995 SR0910 RD,61923
4174,2016-07-26,Customer's fault,5996 WASHINGTON PK,61733
4175,2014-12-02,Everyone's fault,5997 CURRY HOLLOW RD,61930
4176,2016-03-25,Not Customer's fault,5998 SCRUBGRASS RD,61529
4177,2015-07-27,Customer's fault,5999 HAYDEN BL,61076
4178,2015-05-12,Everyone's fault,6000 SR 0051 SH,62012
4179,2016-10-15,Not Customer's fault,6001 STATE ROUTE 51 HW,61074
4180,2016-10-17,Not Customer's fault,6002 LYDIA ST,62039
4181,2015-06-01,Customer's fault,6003 CLAIRTON RD,61668
4182,2014-06-28,Everyone's fault,6004 PAYNE HILL ROAD RD,60319
4183,2016-02-28,Customer's fault,6005 HASSAM RD,61399
4184,2014-06-02,Everyone's fault,6006 NORTHERN PK,61427
4185,2015-04-13,Everyone's fault,6007 IGNATIUS AV,60944
4186,2015-02-21,Everyone's fault,6008 FEDERAL ST,62245
4187,2015-11-07,Not Customer's fault,6009 TULIP DR,60660
4188,2015-10-26,Everyone's fault,6010 MT ROYAL BL,61379
4189,2016-06-12,Everyone's fault,6011 LIBERTY AV,60772
4190,2016-05-15,Everyone's fault,6012 PITTSBURGH ST,61785
4191,2015-04-28,Not Customer's fault,6013 HUNT RD,61733
4192,2014-06-08,Not Customer's fault,6014 NORTHERN PK,61314
4193,2016-02-21,Everyone's fault,6015 FORT COUCH RD,60636
4194,2015-12-10,Customer's fault,6016 MIDDLE RD,62112
4195,2016-04-13,Customer's fault,6017 BROWNSVILLE RD,61138
4196,2014-04-25,Everyone's fault,6018 CURRY HOLLOW RD,62097
4197,2015-01-26,Not Customer's fault,6019 WILLIAM FLYNN HW,60655
4198,2016-04-19,Customer's fault,6020 PENN AV,60999
4199,2015-10-13,Everyone's fault,6021 BAYTREE ST,62263
4200,2015-06-19,Customer's fault,6022 WHITED . ST,62057
4201,2015-05-27,Everyone's fault,6023 STEWART AV,61993
4202,2015-09-27,Everyone's fault,6024 SR 0910 SH,60182
4203,2015-04-22,Not Customer's fault,6025 RODI RD,61757
4204,2014-12-31,Customer's fault,6026 FRANKSTOWN RD,60178
4205,2015-12-18,Customer's fault,6027 FIFTH AL,60605
4206,2016-02-28,Not Customer's fault,6028 DAVIDSON RD,61135
4207,2014-11-17,Everyone's fault,6029 WOODHAVEN DR,62330
4208,2016-02-01,Everyone's fault,6030 WILDWOOD RD,60240
4209,2016-05-21,Customer's fault,6031 GREENSBURG RD,60632
4210,2016-02-07,Not Customer's fault,6032 SAMPLE RD,61502
4211,2016-11-10,Not Customer's fault,6033 NORTH NEGLEY AV,60822
4212,2016-12-06,Not Customer's fault,6034 8TH AV,61097
4213,2016-03-26,Customer's fault,6035 WASHINGTON RD,60815
4214,2016-05-20,Customer's fault,6036 MONROEVILLE RD,60140
4215,2015-06-20,Everyone's fault,6037 WEXFORD BAYNE RD,62328
4216,2015-11-10,Customer's fault,6038 CLAIRTON BL,62109
4217,2015-01-05,Not Customer's fault,6039 CENTER RD,62301
4218,2014-11-04,Not Customer's fault,6040 PROVOST DR,60152
4219,2016-07-18,Not Customer's fault,6041 SCAIFE RD,62174
4220,2016-01-16,Everyone's fault,6042 OHIO RIVER BL,60690
4221,2014-08-19,Everyone's fault,6043 HAYDEN BL,60831
4222,2016-07-17,Not Customer's fault,6044 MANSFIELD BL,62518
4223,2016-06-29,Not Customer's fault,6045 HIGHLAND DR,61142
4224,2014-10-27,Everyone's fault,6046 WILLIAM FLYNN HW,60675
4225,2016-05-05,Not Customer's fault,6047 WEST ALLEGHENY RD,62195
4226,2015-06-23,Everyone's fault,6048 MCGULLY RD,60555
4227,2016-10-04,Everyone's fault,6049 THORN RUN RD,62399
4228,2016-07-06,Not Customer's fault,6050 PENN AV,61898
4229,2015-04-23,Not Customer's fault,6051 PERRY HW,61991
4230,2015-06-11,Customer's fault,6052 MAIN ST,61019
4231,2015-02-11,Customer's fault,6053 SMITHFIELD BR,62292
4232,2016-10-22,Customer's fault,6054 MORRELLE AV,60589
4233,2016-11-03,Customer's fault,6055 EAST MAIN STREET ST,60479
4234,2016-05-01,Everyone's fault,6056 WARRENDALE-BAYNE RD,60192
4235,2014-08-19,Everyone's fault,6057 UNIVERSITY BL,60501
4236,2015-12-23,Everyone's fault,6058 BUTLER STREET ST,60547
4237,2016-10-08,Customer's fault,6059 WATERFRONT DR,60114
4238,2014-05-24,Not Customer's fault,6060 SHOPPES AT BOWER HILL LT,60928
4239,2014-10-28,Customer's fault,6061 MIDDLE RD,60692
4240,2014-06-03,Customer's fault,6062 BOGGS SCHOOL RD,60470
4241,2014-07-07,Everyone's fault,6063 CARGO RD,61537
4242,2016-10-09,Not Customer's fault,6064 RIDGE ROAD RD,60878
4243,2015-03-19,Everyone's fault,6065 WILLIAM FLYNN HW,60420
4244,2016-05-10,Not Customer's fault,6066 HAYDEN BL,60598
4245,2016-03-22,Customer's fault,6067 UNIVERSITY BL,60716
4246,2014-08-23,Everyone's fault,6068 HUNT RD,61843
4247,2016-02-15,Everyone's fault,6069 ISLAND AV,61561
4248,2016-09-07,Everyone's fault,6070 LINWOOD DR,62499
4249,2014-11-27,Not Customer's fault,6071 WILLIAM FLYNN HW,61025
4250,2015-12-18,Customer's fault,6072 CLAIRTON BL,61856
4251,2014-08-03,Customer's fault,6073 CHARLTON HEIGHTS RD,61130
4252,2015-12-27,Not Customer's fault,6074 MAIN ST,61509
4253,2014-04-28,Everyone's fault,6075 WOODLAWN AV,60789
4254,2016-08-02,Not Customer's fault,6076 WASHINGTON PK,60499
4255,2014-08-21,Not Customer's fault,6077 CORAOPOLIS HEIGHTS RD,62581
4256,2015-07-22,Not Customer's fault,6078 5TH AV,61334
4257,2016-11-03,Everyone's fault,6079 GROVE RD,62559
4258,2015-11-22,Not Customer's fault,6080 EWING MILL RD,62485
4259,2016-05-11,Not Customer's fault,6081 UNIVERSITY BL,60732
4260,2015-10-10,Not Customer's fault,6082 HOLLOWHAVEN DR DR,61230
4261,2015-07-05,Everyone's fault,6083 FIFTH AV,61518
4262,2014-09-12,Customer's fault,6084 W EIGHTH AV,62091
4263,2016-10-09,Everyone's fault,6085 TREESDALE DR,61156
4264,2015-09-02,Customer's fault,6086 LOGANS FERRY RD,61225
4265,2016-07-14,Everyone's fault,6087 CORRIGAN DR,61229
4266,2015-12-03,Everyone's fault,6088 BRODHEAD RD,61781
4267,2015-02-18,Everyone's fault,6089 BACKBONE RD,61774
4268,2015-07-17,Everyone's fault,6090 LIBERTY AV,62224
4269,2014-05-02,Customer's fault,6091 WALNUT ST,61072
4270,2016-01-26,Everyone's fault,6092 CAMP HORNE RD,62230
4271,2015-02-12,Everyone's fault,6093 TWENTY SECOND ST,60768
4272,2014-05-11,Customer's fault,6094 FRANKSTOWN RD,62423
4273,2014-06-23,Customer's fault,6095 UNIVERSAL RD,62427
4274,2015-06-21,Everyone's fault,6096 SALTSBURG RD,61751
4275,2014-08-24,Everyone's fault,6097 SHANNON RD,60665
4276,2016-12-14,Everyone's fault,6098 FRANKSTOWN RD,61554
4277,2015-01-11,Everyone's fault,6099 TUNNELVIEW DR,60327
4278,2016-03-18,Everyone's fault,6100 TOWNSHIP 0630 RD,60746
4279,2015-11-15,Customer's fault,6101 VERONA RD,60468
4280,2015-07-28,Customer's fault,6102 FRANKSTOWN RO,61923
4281,2014-10-24,Customer's fault,6103 BEULAH RD,62458
4282,2015-02-11,Everyone's fault,6104 UNIVERSAL RD,60352
4283,2015-01-16,Everyone's fault,6105 MILLTOWN RD,60431
4284,2015-10-18,Everyone's fault,6106 SALTSBURG RD,60323
4285,2014-10-11,Everyone's fault,6107 SAMPSON ST,60765
4286,2016-01-11,Everyone's fault,6108 SALTSBURG RD,62466
4287,2016-07-14,Everyone's fault,6109 FRANKSTOWN RD,60238
4288,2016-04-30,Not Customer's fault,6110 SANDY CREEK RD,60787
4289,2015-04-13,Not Customer's fault,6111 KI M LN,62110
4290,2015-01-13,Not Customer's fault,6112 UNIVERSAL RD,62349
4291,2016-08-02,Everyone's fault,6113 ALLEGHENY AV,61057
4292,2014-12-13,Not Customer's fault,6114 PA TURNPIKE HW,62551
4293,2016-06-13,Customer's fault,6115 NORTH BRANCH RD,62374
4294,2016-03-07,Everyone's fault,6116 PENN LINCOLN PY,62455
4295,2015-10-04,Not Customer's fault,6117 GRUBBS RD,62022
4296,2016-03-11,Everyone's fault,6118 MCKNIGHT RD,61132
4297,2016-03-16,Not Customer's fault,6119 OHIO RIVER BL,60285
4298,2016-03-21,Not Customer's fault,6120 PENN AV,61132
4299,2015-07-03,Not Customer's fault,6121 GREENTREE RD,62012
4300,2016-10-29,Not Customer's fault,6122 MCMURRAY RD,62253
4301,2016-03-20,Not Customer's fault,6123 WILLIAM PENN HIGHWAY HW,60548
4302,2015-08-01,Not Customer's fault,6124 WILLIAM PENN HW,61510
4303,2015-10-22,Everyone's fault,6125 SR. 0051 HW,62091
4304,2016-06-02,Everyone's fault,6126 TURNER RD,61100
4305,2014-11-11,Customer's fault,6127 THORN RUN RD,60157
4306,2014-06-26,Everyone's fault,6128 PENN AV,60297
4307,2016-03-03,Everyone's fault,6129 PERRY HW,61651
4308,2016-05-26,Not Customer's fault,6130 FIFTH AV,60545
4309,2015-12-30,Customer's fault,6131 SALTSBURG RD,62408
4310,2016-03-10,Customer's fault,6132 SALTSBURG RD,60724
4311,2016-04-12,Customer's fault,6133 ALLEGHENY RIVER BL,61232
4312,2014-05-15,Customer's fault,6134 ALLEGHENY RIVER BL,60658
4313,2016-08-10,Not Customer's fault,6135 EAST CARSON ST,62141
4314,2016-04-04,Everyone's fault,6136 CLAIRTON BL,61168
